ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
54,what does C-peptide test results show?,diagnosis,"c-peptide test results are classed within 3 ranges/values. Normal range:The normal range for a c-peptide test is: 0.51 to 2.72 nanograms per millilitre (ng/mL) This may also be expressed as: 0.17-0.90 nanomoles per litre (nmol/L). The following information serves only as a guide. Your doctor should be able to advise you as to what the test results may indicate. Low test result values Low levels of c-peptide and high blood glucose levels could be an indicator of type 1 diabetes. Low levels of both c-peptide and blood glucose could indicate liver disease a severe infection or Addison’s disease. High test result values: High levels of c-peptide with a low level of blood glucose could be an indication of insulin resistance either type 2 diabetes or Cushing’s syndrome. High levels of c-peptide but low blood glucose levels may be a result of insulinoma (a tumour of the pancreas) unless glucose lowering medication has influenced the result.""",c-peptide test results are classed within 3 ranges/values.,[],"['c', 'peptide', 'test', 'results', 'ranges', 'values']","['c-peptide test results', 'values', 'ranges']",[],"['C', 'peptide', 'test', 'results']",['C-peptide test results']
55,What is Critical Illness Cover?,informationanddefinition,"Critical illness cover is almost as it says in the name essentially it is an insurance policy that will pay out a lump sum upon diagnosis of an illness covered under the plan. Critical illnesses that are covered under each policy vary between insurance providers. Therefore you should always check the documentation and policy wording before selecting your policy to make sure that it is right for you.""",critical illness cover is almost as it says in the name essentially it is an insurance policy that will pay out a lump sum upon diagnosis of an illness covered under the plan.,['critical'],"['illness', 'cover', 'name', 'insurance', 'policy', 'lump', 'sum', 'diagnosis', 'illness', 'plan']","['insurance policy', 'illness', 'name', 'illness', 'plan', 'lump sum', 'diagnosis']",[],"['Critical', 'Illness', 'Cover']","['Illness', 'Cover']"
56,Why do I need Critical Illness Cover?,informationanddefinition,"A critical illness policy is designed to offer peace of mind and security for you and your loved ones should you become ill and possibly not able to work as a result of a critical illness or serious injury. The amount of cover is dependant on what you would want the cover for and can vary considerably based on your individual circumstances and needs. It can also be based on affordability and simply how much you are willing to pay for the cover. Some things to consider when applying for an amount of critical illness cover are: Paying your mortgage Monthly outgoings (i.e. utilities loans credit cards) Paying school fees Private medical treatment.""",a critical illness policy is designed to offer peace of mind and security for you and your loved ones should you become ill and possibly not able to work as a result of a critical illness or serious injury.,"['critical', 'ill', 'able', 'critical', 'serious']","['illness', 'policy', 'peace', 'mind', 'security', 'ones', 'result', 'illness', 'injury']","['policy', 'illness', 'peace', 'mind', 'loved ones', 'security', 'illness', 'result', 'injury']",[],"['Critical', 'Illness', 'Cover']","['Illness', 'Cover']"
57,Have Critical Illness products been available in the past?,informationanddefinition,"Historically there have only been a couple of providers to offer critical illness cover for people who have been diagnosed with diabetes. Since November 2011 there has been a sole insurance provider who offered a Critical Illness Cover product for people with diabetes.""",historically there have only been a couple of providers to offer critical illness cover for people who have been diagnosed with diabetes.,['critical'],"['couple', 'providers', 'illness', 'cover', 'people', 'diabetes']","['providers', 'cover', 'illness', 'couple', 'people', 'diabetes']","['Critical', 'available']","['Illness', 'products', 'past']","['products', 'Illness']"
58,How does Critical Illness for Diabetes work?,informationanddefinition,"Generally you would only be able to obtain critical illness cover if the individual with diabetes has good control is a non-smoker and no complications such as: Retinopathy Neuropathy Raised BMI levels Cover is available for people with Type 1 or Type 2 Diabetes. Some providers will have standard exclusions on their policy which could be cardiovascular conditions and anything relating to the eyes.""",generally you would only be able to obtain critical illness cover if the individual with diabetes has good control is a non-smoker and no complications such as: retinopathy neuropathy raised bmi levels cover is available for people with type 1 or type 2 diabetes.,"['able', 'critical', 'good', 'such', 'available']","['illness', 'cover', 'individual', 'diabetes', 'control', 'non-smoker', 'complications', 'retinopathy', 'neuropathy', 'bmi', 'levels', 'people', 'type', 'type', 'diabetes']","['cover', 'illness', 'non-smoker', 'individual', 'diabetes', 'control', 'complications', 'type 1', 'people', 'diabetes', 'levels', 'retinopathy neuropathy', 'bmi']",[],"['Critical', 'Illness', 'Diabetes', 'work']","['Illness', 'Diabetes work']"
59,What does Critical Illness cost?,informationanddefinition,"The good news is that the cover is certainly more affordable and reasonably priced now than it has ever been in the past. There are a number of reasons for the general reduction in premiums and in ratings for diabetes such as: Better mortality data (people living longer and healthier lives) Greater competition Knowledge of the condition has developed The advance of medication for diabetes. It should be noted that critical illness cover is generally more expensive than life insurance for the simple reason that it is 6 times more likely that an individual will make a claim.""",the good news is that the cover is certainly more affordable and reasonably priced now than it has ever been in the past.,"['good', 'affordable']","['news', 'cover', 'past']","['cover', 'news']",[],"['Critical', 'Illness']","['Illness', 'cost']"
60,What is cystic fibrosis?,informationanddefinition,"Cystic fibrosis is caused by a genetic mutation of the CFTR gene which causes the normal flow of salt and water through the body to be blocked. This results in the body producing unusually thick mucus which can cause problems in the body such as raising the risk of dangerous lung infections and preventing the pancreas from working properly to digest food. The symptoms of cystic fibrosis are usually spotted within the first year of a baby’s life and include: Particularly salty-tasting skin Persistent coughing Shortness of breath Frequent chest and lung infections Poor growth or weight gain.Cystic fibrosis affects digestion and so a high calorie diet is needed to maintain a healthy weight.""",cystic fibrosis is caused by a genetic mutation of the cftr gene which causes the normal flow of salt and water through the body to be blocked.,"['cystic', 'genetic', 'normal']","['fibrosis', 'mutation', 'cftr', 'gene', 'flow', 'salt', 'water', 'body']","['cftr gene', 'cystic fibrosis', 'mutation', 'flow', 'body', 'salt', 'water']",['cystic'],['fibrosis'],['cystic fibrosis']
61,what are the symptoms of diabetes in cystic fibrosis?,manifestation,"The following symptoms of diabetes may be noticed in people with cystic fibrosis: Increased thirst Increased need to urinate Excessive tiredness Unexplained weight loss Unexplained decline in lung function.""","the following symptoms of diabetes may be noticed in people with cystic fibrosis: increased thirst increased need to urinate excessive tiredness unexplained weight loss unexplained decline in lung function.""","['cystic', 'excessive', 'unexplained', 'unexplained']","['symptoms', 'diabetes', 'people', 'fibrosis', 'thirst', 'need', 'tiredness', 'weight', 'loss', 'decline', 'lung', 'function.']","['symptoms', 'diabetes', 'cystic fibrosis', 'thirst', 'people', 'need', 'decline', 'weight loss', 'lung', 'tiredness']",['cystic'],"['symptoms', 'diabetes', 'fibrosis']","['diabetes', 'symptoms', 'cystic fibrosis']"
62,what are the diagnosis of diabetes in cystic fibrosis?,diagnosis,"It is important that a diagnosis of diabetes is not delayed to prevent deterioration of lung function. If you have the symptoms of diabetes contact your health team who will be able to arrange a diagnosis. An oral glucose tolerance test or continuous glucose monitoring may be used to diagnose CFRD.""",it is important that a diagnosis of diabetes is not delayed to prevent deterioration of lung function.,['important'],"['diagnosis', 'diabetes', 'deterioration', 'lung', 'function']","['diabetes', 'diagnosis', 'lung function', 'deterioration']",['cystic'],"['diagnosis', 'diabetes', 'fibrosis']","['diabetes', 'diagnosis', 'cystic fibrosis']"
63,what are the causes of Cystic fibrosis?,cause,"Cystic fibrosis can cause scarring of the pancreas which can affect the organ’s ability to produce insulin. Another contributing factor is insulin resistance which can also occur in people with cystic fibrosis. The impact of insulin resistance can be significantly increased whilst or as a result of taking corticosteroids to treat symptoms of cystic fibrosis.""",cystic fibrosis can cause scarring of the pancreas which can affect the organ’s ability to produce insulin.,['cystic'],"['fibrosis', 'scarring', 'pancreas', 'organ', 'ability', 'insulin']","['cystic fibrosis', 'pancreas', 'scarring', 'insulin', 'ability', 'organ']",['Cystic'],"['causes', 'fibrosis']","['causes', 'Cystic fibrosis']"
64,what are the treatment for Cystic fibrosis?,management,"Treatment for cystic fibrosis related diabetes should aim to address the issue of keeping blood glucose levels under control whilst enabling someone with CFRD to get sufficient nutrition to maintain a healthy weight.CFRD is usually treated with insulin. Insulin helps to keep blood glucose levels under control which can to prevent health complications related to diabetes developing and helps the body to get the energy needed to keep a healthy weight. Oral hypoglycemics (tablets) may be taken if there are sufficient difficulties in taking insulin. Regular blood glucose testing is an important part of the management of CFRD. Insulin requirements may be higher during times when corticosteroids are taken to manage the symptoms of cystic fibrosis. Management of diabetes in people with cystic fibrosis presents a different set of challenges to people with type 1 or type 2 diabetes and people with CFRD should be referred to a consultant with a specialism in managing patients with CFRD. The combination of diabetes with cystic fibrosis can be a challenge and psychological support can be an important part of managing the two conditions as well as accepting your diagnosis.""",treatment for cystic fibrosis related diabetes should aim to address the issue of keeping blood glucose levels under control whilst enabling someone with cfrd to get sufficient nutrition to maintain a healthy weight.cfrd is usually treated with insulin.,"['cystic', 'sufficient', 'healthy']","['treatment', 'fibrosis', 'diabetes', 'issue', 'blood', 'glucose', 'levels', 'control', 'someone', 'cfrd', 'nutrition', 'weight.', 'cfrd', 'insulin']","['treatment', 'diabetes', 'cystic fibrosis', 'cfrd', 'control', 'issue', 'blood glucose levels', 'cfrd', 'someone', 'insulin', 'nutrition']",['Cystic'],"['treatment', 'fibrosis']","['treatment', 'Cystic fibrosis']"
65,Waht are symptoms of dehydration?,manifestation,"The symptoms of dehydration include: Thirst Headache Dry mouth and dry eyes Dizziness Tiredness Dark yellow coloured urine.""","the symptoms of dehydration include: thirst headache dry mouth and dry eyes dizziness tiredness dark yellow coloured urine.""","['dry', 'dry', 'dark', 'yellow', 'coloured']","['symptoms', 'dehydration', 'thirst', 'headache', 'mouth', 'eyes', 'dizziness', 'tiredness', 'urine.']","['symptoms', 'dehydration', 'dry mouth', 'thirst headache', 'eyes']",[],"['Waht', 'symptoms', 'dehydration']","['symptoms', 'dehydration']"
66,What are the causes and contributory factors of dehydration?,cause,"The following factors can contribute to dehydration. Having more of these factors present at one time can raise the risk of dehydration: Insufficient fluid intake Hot weather Strenuous exercise High blood glucose levels Alcohol Diarrhoea Vomiting Diabetes insipidus.""",the following factors can contribute to dehydration.,[],"['factors', 'dehydration']","['factors', 'dehydration']",['contributory'],"['causes', 'factors', 'dehydration']","['causes', 'factors', 'dehydration']"
67,What are symptoms of severe dehydration?,manifestation,"The symptoms of severe dehydration include:Low blood pressure Sunken eyes A weak pulse and/or rapid heartbeat Feeling confused Lethargy""","the symptoms of severe dehydration include:low blood pressure sunken eyes a weak pulse and/or rapid heartbeat feeling confused lethargy""","['severe', 'low', 'sunken', 'weak', 'rapid', 'confused']","['symptoms', 'dehydration', 'blood', 'pressure', 'eyes', 'pulse', 'heartbeat', 'lethargy']","['symptoms', 'dehydration', 'eyes', 'blood pressure', 'pulse', 'heartbeat', 'lethargy']",['severe'],"['symptoms', 'dehydration']","['symptoms', 'dehydration']"
68,How does LADA compare with other diabetes types?,informationanddefinition,"LADA is sometimes referred to as type 1.5 diabetes. This is not an official term but it does illustrate the fact that LADA is a form of type 1 diabetes that shares some characteristics with type 2 diabetes. As a form of type 1 diabetes LADA is an autoimmune disease in which the body’s immune system attacks and kills off insulin producing cells. The reasons why LADA can often be mistaken for type 2 diabetes is it develops over a longer period of time than type 1 diabetes in children or younger adults. Whereas type 1 diabetes in children tends to develop quickly sometimes within the space of days LADA develops more slowly sometimes over a period of years. The slower onset of diabetes symptoms being presented in people over 35 years may lead a GP to initially diagnose a case of LADA as type 2 diabetes.""",lada is sometimes referred to as type 1.5 diabetes.,[],"['lada', 'type', 'diabetes']","['lada', 'type', 'diabetes']",['other'],"['LADA', 'diabetes', 'types']","['LADA', 'diabetes types']"
69,How common is LADA?,informationanddefinition,"According to the UK Prospective Diabetes Study found that antibodies specific to LADA cases are found in between 6% and 10% of diabetes cases. Amongst people diagnosed with diabetes at an age younger than 35 years old LADA may account for up to 25% of cases.""",according to the uk prospective diabetes study found that antibodies specific to lada cases are found in between 6% and 10% of diabetes cases.,"['prospective', 'specific', 'lada']","['uk', 'diabetes', 'study', 'antibodies', 'cases', '%', '%', 'diabetes', 'cases']","['uk', 'diabetes study', 'cases', 'antibodies', 'diabetes cases']",['common'],['LADA'],['LADA']
70,How is LADA diagnosed?,diagnosis,"Often LADA will be initially diagnosed as diabetes by way of the usual diagnosis procedures. Following a diagnosis of diabetes your doctor or you may have reason to suspect that the type of diabetes present is LADA. Determining the presence of LADA is achieved by examining the presence of elevated levels of pancreatic autoantibodies amongst patients who have recently been diagnosed with diabetes but do not require insulin. A GAD Antibody test can measure the presence of these autoantibodies. These antibodies can identify LADA and also can predict the rate of progression towards insulin dependency. Another test that can be performed is a C-peptide test. However C-peptide tests may not always draw conclusive results in people with LADA at an earlier stage of the condition’s development.""",often lada will be initially diagnosed as diabetes by way of the usual diagnosis procedures.,['usual'],"['diabetes', 'way', 'diagnosis', 'procedures']","['lada', 'diabetes', 'way', 'diagnosis procedures']",[],['LADA'],['LADA']
71,How is LADA treated?,management,"Because LADA develops slowly someone with LADA may be able to produce enough of their own insulin to keep sugar levels under control without needing insulin for a number of months or sometimes even years after the initial diagnosis of diabetes. Insulin will almost certainly be required at some point in the future. In some cases insulin therapy may be postponed. However there is evidence to suggest that starting insulin treatment soon after a diagnosis of LADA will help to better preserve the pancreas’ ability to produce insulin. Regular blood glucose testing is advised for people with LADA at a similar number of tests per day that are advised for people with type 1 diabetes. This means that it is advisable to test your blood sugar levels before each meal and before bed.""",because lada develops slowly someone with lada may be able to produce enough of their own insulin to keep sugar levels under control without needing insulin for a number of months or sometimes even years after the initial diagnosis of diabetes.,"['able', 'enough', 'own', 'initial']","['lada', 'someone', 'lada', 'insulin', 'sugar', 'levels', 'control', 'insulin', 'number', 'months', 'years', 'diagnosis', 'diabetes']","['lada', 'someone', 'lada', 'insulin', 'sugar levels', 'control', 'insulin', 'diagnosis', 'diabetes', 'number']",[],['LADA'],['LADA']
72,What complications are related to LADA?,complications,"Ketoacidosis is a short-term complication of LADA particularly once the pancreas has lost much of its ability to produce insulin. People with LADA should be aware of the signs of ketoacidosis and how to test for ketones if needed. The risks of long term complications of diabetes will be similar to the risks in people with type 1 and type 2 diabetes. The possible long term complications of diabetes include:Heart disease and stroke Retinopathy (retinal disease) Nephropathy (kidney disease) Neuropathy (nerve disease) Foot problems.""",ketoacidosis is a short-term complication of lada particularly once the pancreas has lost much of its ability to produce insulin.,"['short', 'much']","['ketoacidosis', 'term', 'complication', 'lada', 'pancreas', 'ability', 'insulin']","['ketoacidosis', 'pancreas', 'lada', 'insulin', 'ability', 'much']",[],"['complications', 'LADA']","['complications', 'LADA']"
73,What is MODY diabetes?,informationanddefinition,"Maturity Onset Diabetes of the Young affects approximately one or two per cent of people who have diabetes and may often go unrecognised in its early stages. It is a form of diabetes that develops before the patient reaches 25. It also runs in families and can pass from one generation to the next. MODY does not always require insulin treatment.""",maturity onset diabetes of the young affects approximately one or two per cent of people who have diabetes and may often go unrecognised in its early stages.,"['young', 'unrecognised', 'early']","['maturity', 'onset', 'diabetes', 'affects', 'cent', 'people', 'diabetes', 'stages']","['maturity onset diabetes', 'diabetes', 'people', 'affects', 'stages']",[],"['MODY', 'diabetes']","['diabetes', 'MODY']"
74,Why is MODY inherited so easily?,informationanddefinition,"MODY is directly caused by the change in a single gene and all children of an affected parent have a 50 per cent chance of inheriting this gene and consequently developing MODY themselves.""","mody is directly caused by the change in a single gene and all children of an affected parent have a 50 per cent chance of inheriting this gene and consequently developing mody themselves.""","['single', 'affected']","['mody', 'change', 'gene', 'children', 'parent', 'per', 'cent', 'chance', 'gene', 'mody', 'themselves.']","['mody', 'change', 'gene', 'children', 'parent', 'gene', 'mody', 'chance']",[],['MODY'],['MODY']
75,Why does MODY differ from other strains of diabetes?,informationanddefinition,"Knowing and understanding MODY and even the different forms of MODY (six types have been identified) means that the affected person can be treated in the most appropriate way possible. Advice can also be provided about how the disease will progress and what complications can be expected. Furthermore other family members can be advised about the risks of inheriting the disease.""",knowing and understanding mody and even the different forms of mody (six types have been identified) means that the affected person can be treated in the most appropriate way possible.,"['different', 'affected', 'appropriate', 'possible']","['mody', 'forms', 'mody', 'types', 'person', 'way']","['mody', 'forms', 'mody', 'types', 'way', 'person']",['other'],"['MODY', 'strains', 'diabetes']","['strains', 'MODY', 'diabetes']"
76,what is the relation between Diabetes and Alcohol?,complications,"There is no need for people with diabetes to give up alcohol simply because of their diabetes. Although alcohol does have an effect on blood sugar levels with a few precautions and careful management people with diabetes can also enjoy a drink. There are also alcohol substitutes for those who abstain. In fact diabetes alcohol guidelines are the same as for the general population.""",there is no need for people with diabetes to give up alcohol simply because of their diabetes.,[],"['need', 'people', 'diabetes', 'alcohol', 'diabetes']","['people', 'need', 'diabetes', 'alcohol', 'diabetes']",[],"['relation', 'Diabetes', 'Alcohol']","['relation', 'Diabetes', 'Alcohol']"
77,What are the recommended alcohol guidelines for people with diabetes?,informationanddefinition,"The guidelines are two units for women and three units for men. However it is worth being aware how many units a drink contains. In some cases a glass of wine will constitute two units and a pint of beer can even reach three units.""",the guidelines are two units for women and three units for men.,[],"['guidelines', 'units', 'women', 'units', 'men']","['guidelines', 'units', 'women', 'men', 'units']",[],"['alcohol', 'guidelines', 'people', 'diabetes']","['alcohol guidelines', 'diabetes', 'people']"
78,How much alcohol do drinks usually contain?,informationanddefinition,"If you have diabetes and are wondering how much alcohol you should drink it is worth reading the following list to see how much alcohol is contained in each type of drink. One unit (approximate measure): 1/2 pint of standard strength beer lager or cider pub shot/optic/measure (50ml) of sherry or vermouth 1 pub shot/optic/measure of spirit (25 ml) eg gin vodka or whisky.""",if you have diabetes and are wondering how much alcohol you should drink it is worth reading the following list to see how much alcohol is contained in each type of drink.,"['much', 'worth', 'following', 'much']","['diabetes', 'alcohol', 'list', 'alcohol', 'type', 'drink']","['diabetes', 'list', 'alcohol', 'type', 'drink', 'alcohol']",['much'],"['alcohol', 'drinks']","['drinks', 'alcohol']"
79,So if I have diabetes I can drink as usual?,informationanddefinition,"Not quite. People with diabetes need to be extra careful with alcohol. Alcohol intake significantly increases the risk of hypoglycemia (low blood sugar levels). If your diabetes is already well under control a moderate amount of alcohol may be fine either before during or soon after a meal. Even if you have a drink this may not influence short-term blood glucose levels. However there are some precautions to be taken care of.""",not quite.,[],[],[],['usual'],['diabetes'],['diabetes']
80,What do I need to be careful of when it comes to diabetes and alcohol?,management,"Avoid drinking on an empty stomach as this will quickly increase the amount of alcohol in your bloodstream. Also avoid binge-drinking or sustained drinking and never substitute alcohol for your meals. All of this can increase the risk of hypoglycaemia.""",avoid drinking on an empty stomach as this will quickly increase the amount of alcohol in your bloodstream.,['empty'],"['stomach', 'amount', 'alcohol', 'bloodstream']","['stomach', 'bloodstream', 'amount', 'alcohol']",['careful'],"['diabetes', 'alcohol']","['alcohol', 'diabetes']"
81,what is the relation between Diabetes and Amputation?,complications,"Diabetes when present in the body over many years can give rise to all sorts of complications. These include heart disease kidney disease retinopathy and neuropathy. If left untreated some of these complications can become extremely damaging to the body.""",diabetes when present in the body over many years can give rise to all sorts of complications.,"['present', 'many']","['diabetes', 'body', 'years', 'rise', 'sorts', 'complications']","['diabetes', 'body', 'rise', 'sorts', 'complications']",[],"['relation', 'Diabetes', 'Amputation']","['relation', 'Diabetes', 'Amputation']"
82,Why is Diabetes is a leading cause of amputation?,cause,The NHS reports that people who have diabetes are 15 times more likely to undergo amputations than other people without the condition. Diabetes is one of the leading causes of amputation of the lower limbs throughout the world. Charity Diabetes UK notes that problems of the foot are the most frequent reasons for hospitalisation amongst patients who have diabetes. Many hospital visits due to diabetes-related foot problems are preventable through simple foot care routines. All people who have diabetes should have foot check-ups as a part of their regular care routine.,the nhs reports that people who have diabetes are 15 times more likely to undergo amputations than other people without the condition.,"['likely', 'other']","['nhs', 'people', 'diabetes', 'times', 'amputations', 'people', 'condition']","['people', 'nhs', 'diabetes', 'people', 'condition', 'amputations']",['leading'],"['Diabetes', 'cause', 'amputation']","['Diabetes', 'amputation']"
83,What factors lead to amputation?,cause,"Several key factors usually predispose ulceration and ultimately amputation. These include: Neuropathy Circulation problems Foot ulcers Charcot foot Other damage to the foot.""",several key factors usually predispose ulceration and ultimately amputation.,"['several', 'key']","['factors', 'ulceration', 'amputation']","['factors', 'ulceration', 'amputation']",[],"['factors', 'amputation']","['factors', 'amputation']"
84,How are these factors assessed?,informationanddefinition,"Diabetic foot complications are more common amongst the elderly and amputation rates do increase with age. For people over 75 years old the risk does increase considerably. All people who have diabetes should have a basic education in foot care and beyond this they should have regular foot examinations. The risk for the development of ulceration can be assessed by basic clinical examination of the foot.""",diabetic foot complications are more common amongst the elderly and amputation rates do increase with age.,"['diabetic', 'common', 'elderly']","['foot', 'complications', 'amputation', 'rates', 'age']","['foot', 'complications', 'elderly', 'amputation', 'age', 'rates']",[],['factors'],['factors']
85,What are major and minor amputations?,informationanddefinition,"Amputations in general not just diabetes-related amputations are classed as major and minor. Minor amputation regards removal of toes or feet. Major amputation refers to the above or below the knee amputation.""",amputations in general not just diabetes-related amputations are classed as major and minor.,"['general', 'major', 'minor']","['amputations', 'diabetes', 'amputations']","['amputations', 'amputations', 'minor']","['major', 'minor']",['amputations'],['amputations']
86,How should I identify a foot at risk from amputation?,diagnosis,"Look for any signs of damage to the foot this could be cuts sores burns blisters or ulcers. In people with reduced circulation or sensation in the foot even small damage could be significant.""",look for any signs of damage to the foot this could be cuts sores burns blisters or ulcers.,[],"['signs', 'damage', 'foot', 'cuts', 'sores', 'blisters', 'ulcers']","['signs', 'foot', 'damage', 'blisters', 'ulcers', 'cuts sores']",[],"['foot', 'risk', 'amputation']","['foot', 'amputation', 'risk']"
87,What is the purpose of disability benefits?,informationanddefinition,"The aim of disability benefits is to help those people that need it whilst incapacity benefits are intended for those that physically or mentally are unable to work.""","the aim of disability benefits is to help those people that need it whilst incapacity benefits are intended for those that physically or mentally are unable to work.""",['unable'],"['aim', 'disability', 'benefits', 'people', 'incapacity', 'benefits']","['aim', 'people', 'disability benefits', 'incapacity benefits']",[],"['purpose', 'disability', 'benefits']","['purpose', 'disability benefits']"
88,What benefits are available to me?,informationanddefinition,"There are a number of benefits available for people with diabetes and/or their carers: Disability Living Allowance (DLA) Disability Living Allowance is available for people over the age of 16 years old with care and/or mobility needs. For care needs there are three tiers of benefit from needing care for short periods up to care covering both night and day. For mobility needs there are two tiers covering care for those who need guidance and the higher tier for people who find the act of moving around difficult; DLA for parents of children with diabetes: Parents of diabetic children may also claim for disability living allowance if there are significant care needs above those of other children of the same age; Personal Independence Payment (PIP): In 2013 Personal Independence Payment replaced Disability Living Allowance for people between the ages of 16 and 64. For care needs there are two tiers of benefit for both mobility and daily living needs. The tier you may qualify for and therefore how much benefit you receive depends on the extent of care needs you have which is assessed on a points basis. Attendance Allowance for over 65s: If you are over 65 and have specific care needs for safety reasons or to carry out basic tasks you may wish to claim Attendance Allowance. There are two tiers available higher and lower depending on your specific care needs. There are two tiers available a lower tier for day or night needs and a higher tier for day and night needs.""",there are a number of benefits available for people with diabetes and/or their carers: disability living allowance (dla) disability living allowance is available for people over the age of 16 years old with care and/or mobility needs.,"['available', 'available', 'old']","['number', 'benefits', 'people', 'diabetes', 'carers', 'disability', 'living', 'allowance', 'dla', 'disability', 'living', 'allowance', 'people', 'age', 'years', 'care', 'mobility', 'needs']","['people', 'benefits', 'number', 'diabetes', 'disability living allowance', 'disability living allowance', 'carers', 'dla', 'care', 'mobility needs', 'people', 'age']",['available'],['benefits'],['benefits']
89,what are Carbohydrate Controlled Diets?,management,"One area of confusion for diabetics and their diets is carbohydrates. So should you eat carbohydrates or avoid them? Carbohydrates have a direct influence on blood sugar levels and so diets followed by people with diabetes tend to focus either on the quantity of carbohydrate intake or the speed at which carbohydrates are absorbed by the body. In the UK patients diagnosed with diabetes are generally recommended by health professionals to follow a low GI diet rather than a low-carb diet.""",one area of confusion for diabetics and their diets is carbohydrates.,[],"['area', 'confusion', 'diabetics', 'diets', 'carbohydrates']","['area', 'diabetics', 'confusion', 'carbohydrates', 'diets']",[],"['Carbohydrate', 'Diets']","['Carbohydrate', 'Diets']"
90,What is a carbohydrate controlled diet?,management,"A carbohydrate controlled diet is a diet in which carbohydrate intake is either limited or set at a particular value. Setting carbohydrate intake at set values or limits can be used by people with diabetes help stabilise blood glucose levels. Examples of carbohydrate controlled diets include: Low carbohydrate diets Ketogenic diets Atkins diet Low carb high fat diet South beach diet The Zone diet.""",a carbohydrate controlled diet is a diet in which carbohydrate intake is either limited or set at a particular value.,"['limited', 'particular']","['carbohydrate', 'diet', 'diet', 'carbohydrate', 'intake', 'value']","['diet', 'carbohydrate intake', 'value']",[],"['carbohydrate', 'diet']",['diet']
91,what are Fixed carbohydrate intakes?,informationanddefinition,"A diet involving fixed intakes of carbohydrate through the day can help to simply diabetes control and may be helpful to people on insulin and particularly those on fixed dose insulin regimens. Having a fixed intake of carbohydrate each day offers less flexibility in terms of meals but can offer more consistency over blood glucose control. People with type 1 diabetes will still need to have competence in carbohydrate counting.""",a diet involving fixed intakes of carbohydrate through the day can help to simply diabetes control and may be helpful to people on insulin and particularly those on fixed dose insulin regimens.,['helpful'],"['diet', 'intakes', 'carbohydrate', 'day', 'diabetes', 'control', 'people', 'insulin', 'dose', 'insulin', 'regimens']","['diet', 'intakes', 'carbohydrate', 'diabetes control', 'insulin regimens', 'insulin', 'people']",[],"['carbohydrate', 'intakes']",['carbohydrate intakes']
92,what are Restricted carbohydrate diets?,informationanddefinition,"Restricted carbohydrate diets set a limit on how much carbohydrate you take in over the course of a day or for each meal. Low carbohydrate diets are a form of restricted carbohydrate diet. Restricted carbohydrate diets may specify a maximum value of carbohydrate intake. However sometimes this is not needed particularly if the diet suggests avoiding many of the kind of foods with higher carbohydrate intakes.""",restricted carbohydrate diets set a limit on how much carbohydrate you take in over the course of a day or for each meal.,['much'],"['carbohydrate', 'diets', 'limit', 'carbohydrate', 'course', 'day', 'meal']","['carbohydrate diets', 'limit', 'carbohydrate', 'course', 'meal']",[],"['carbohydrate', 'diets']",['carbohydrate diets']
93,How do restricted carbohydrate diets work?,informationanddefinition,"Restricting carbohydrates from a diet can help to reduce hunger particularly in people with diabetes as it can help prevent wider swings in blood glucose levels that can be responsible for causing hunger. If carbohydrate and calorie intake is kept low enough it can help to promote regular ketosis in which the body breaks down fat tissues to convert them into ketones an alternative energy source to glucose. The breaking down of fat is one reason why very low carbohydrate diets can help with weight loss. Whilst restricted carbohydrate diets can help with weight loss they may also be used primarily for maintaining good blood glucose control. If following a low carbohydrate diet an increased intake of fat and protein may be needed to prevent weight loss occurring.""",restricting carbohydrates from a diet can help to reduce hunger particularly in people with diabetes as it can help prevent wider swings in blood glucose levels that can be responsible for causing hunger.,"['wider', 'responsible']","['carbohydrates', 'diet', 'hunger', 'people', 'diabetes', 'swings', 'blood', 'glucose', 'levels', 'hunger']","['hunger', 'swings', 'diet', 'carbohydrates', 'diabetes', 'people', 'hunger', 'blood glucose levels']",[],"['carbohydrate', 'diets']","['carbohydrate diets', 'work']"
94,what is the relation between diabetes and Cholesterol?,complications,"High cholesterol levels may be a sign that you are at higher risk of heart disease and stroke. However it is the balance of cholesterol levels that is a better indicator heart health and it is the balance of cholesterol that your doctors should take into account before advising treatment. Lifestyle modifications and statins are commonly used to reduce high cholesterol levels. Whilst cholesterol levels may rise for a number of reasons high cholesterol levels over a period of years is often associated with a greater risk of health problems.Too low cholesterol can be more dangerous than too high cholesterol.""",high cholesterol levels may be a sign that you are at higher risk of heart disease and stroke.,"['high', 'higher']","['cholesterol', 'levels', 'sign', 'risk', 'heart', 'disease', 'stroke']","['cholesterol levels', 'sign', 'heart disease', 'stroke', 'risk']",[],"['relation', 'diabetes', 'Cholesterol']","['relation', 'diabetes', 'Cholesterol']"
