QUESTION,ID,ANSWER
What are major and minor amputations?,85,"Amputations in general not just diabetes-related amputations are classed as major and minor. Minor amputation regards removal of toes or feet. Major amputation refers to the above or below the knee amputation."""
How should I identify a foot at risk from amputation?,86,"Look for any signs of damage to the foot this could be cuts sores burns blisters or ulcers. In people with reduced circulation or sensation in the foot even small damage could be significant."""
What is the purpose of disability benefits?,87,"The aim of disability benefits is to help those people that need it whilst incapacity benefits are intended for those that physically or mentally are unable to work."""
What benefits are available to me?,88,"There are a number of benefits available for people with diabetes and/or their carers: Disability Living Allowance (DLA) Disability Living Allowance is available for people over the age of 16 years old with care and/or mobility needs. For care needs there are three tiers of benefit from needing care for short periods up to care covering both night and day. For mobility needs there are two tiers covering care for those who need guidance and the higher tier for people who find the act of moving around difficult; DLA for parents of children with diabetes: Parents of diabetic children may also claim for disability living allowance if there are significant care needs above those of other children of the same age; Personal Independence Payment (PIP): In 2013 Personal Independence Payment replaced Disability Living Allowance for people between the ages of 16 and 64. For care needs there are two tiers of benefit for both mobility and daily living needs. The tier you may qualify for and therefore how much benefit you receive depends on the extent of care needs you have which is assessed on a points basis. Attendance Allowance for over 65s: If you are over 65 and have specific care needs for safety reasons or to carry out basic tasks you may wish to claim Attendance Allowance. There are two tiers available higher and lower depending on your specific care needs. There are two tiers available a lower tier for day or night needs and a higher tier for day and night needs."""
what are Carbohydrate Controlled Diets?,89,"One area of confusion for diabetics and their diets is carbohydrates. So should you eat carbohydrates or avoid them? Carbohydrates have a direct influence on blood sugar levels and so diets followed by people with diabetes tend to focus either on the quantity of carbohydrate intake or the speed at which carbohydrates are absorbed by the body. In the UK patients diagnosed with diabetes are generally recommended by health professionals to follow a low GI diet rather than a low-carb diet."""
What is a carbohydrate controlled diet?,90,"A carbohydrate controlled diet is a diet in which carbohydrate intake is either limited or set at a particular value. Setting carbohydrate intake at set values or limits can be used by people with diabetes help stabilise blood glucose levels. Examples of carbohydrate controlled diets include: Low carbohydrate diets Ketogenic diets Atkins diet Low carb high fat diet South beach diet The Zone diet."""
what are Fixed carbohydrate intakes?,91,"A diet involving fixed intakes of carbohydrate through the day can help to simply diabetes control and may be helpful to people on insulin and particularly those on fixed dose insulin regimens. Having a fixed intake of carbohydrate each day offers less flexibility in terms of meals but can offer more consistency over blood glucose control. People with type 1 diabetes will still need to have competence in carbohydrate counting."""
what are Restricted carbohydrate diets?,92,"Restricted carbohydrate diets set a limit on how much carbohydrate you take in over the course of a day or for each meal. Low carbohydrate diets are a form of restricted carbohydrate diet. Restricted carbohydrate diets may specify a maximum value of carbohydrate intake. However sometimes this is not needed particularly if the diet suggests avoiding many of the kind of foods with higher carbohydrate intakes."""
How do restricted carbohydrate diets work?,93,"Restricting carbohydrates from a diet can help to reduce hunger particularly in people with diabetes as it can help prevent wider swings in blood glucose levels that can be responsible for causing hunger. If carbohydrate and calorie intake is kept low enough it can help to promote regular ketosis in which the body breaks down fat tissues to convert them into ketones an alternative energy source to glucose. The breaking down of fat is one reason why very low carbohydrate diets can help with weight loss. Whilst restricted carbohydrate diets can help with weight loss they may also be used primarily for maintaining good blood glucose control. If following a low carbohydrate diet an increased intake of fat and protein may be needed to prevent weight loss occurring."""
what is the relation between diabetes and Cholesterol?,94,"High cholesterol levels may be a sign that you are at higher risk of heart disease and stroke. However it is the balance of cholesterol levels that is a better indicator heart health and it is the balance of cholesterol that your doctors should take into account before advising treatment. Lifestyle modifications and statins are commonly used to reduce high cholesterol levels. Whilst cholesterol levels may rise for a number of reasons high cholesterol levels over a period of years is often associated with a greater risk of health problems.Too low cholesterol can be more dangerous than too high cholesterol."""
What is cholesterol?,95,"Cholesterol is a type of blood fat (blood lipid) that forms the membrane of each cell of the body. Cholesterol is carried in the blood by proteins called lipoproteins and it is these that are measured when you have a cholesterol test. These are: High Density Lipoprotein (HDL) Low Density Lipoprotein (LDL) LDL is often referred to as ‘bad cholesterol’ because it is this form of cholesterol that can build up in blood vessels. HDL is often referred to as ‘good cholesterol’ because it helps to clear excess LDL out of the blood. Whilst LDL may be called bad cholesterol it is needed for the body and is usually healthy as long as it is kept in balance by a sufficient level of HDL. Triglycerides are another form of blood lipid (blood fat) and are also measured when a cholesterol test is taken. Total cholesterol is the figure of all the different blood fats added together. Ratio of total cholesterol-to-HDL is taken by dividing the total cholesterol figure by the HDL figure. This provides a more reliable indicator of heart health than looking at the total cholesterol or LDL figures."""
what are the Cholesterol targets for people with diabetes?,96,"NICE no longer specifies target cholesterol levels for people with diabetes. Your doctors will use a calculator called QRISK2 to work out your risk of heart disease using a number of factors such as age BMI gender blood pressure levels cholesterol levels and which type of diabetes you have. If you want a general guide of how healthy your cholesterol levels are find out your total cholesterol-to-HDL ratio. To find this take your total cholesterol figure and divide it by your HDL figure. A result of less than four is healthy."""
what are the Symptoms of high cholesterol?,97,"High cholesterol does not usually present any symptoms in itself however people that have high or unbalanced cholesterol levels over a number of years are more likely to develop problems conditions such as heart disease stroke and peripheral arterial disease (PAD)."""
What causes high cholesterol?,98,"High or unhealthy cholesterol levels may be brought on by: High-calorie diet High-carbohydrate diets Low physical activity Obesity Smoking High alcohol intake. High cholesterol levels may also result from the following: Hypothyroidism - an underactive thyroid Kidney disease Liver disease Familial hypercholesterolaemia - a genetic condition that affects around 1 in 500 people."""
how does Diet affect cholesterol?,99,"In the past fat has been blamed for high cholesterol levels and heart disease. Whilst some fatty foods such as chips crisps pizza and pies are unhealthy they are high carbohydrate foods as well as high-fat. If you have healthy fats and follow a low-carb diet you’re likely to have as good or better cholesterol levels and heart health than by following a low-fat diet. Healthy fats are from natural sources and minimally processed such as avocado olive oil unprocessed meat oily fish full fat dairy nuts. As we noted above higher total cholesterol does not necessarily indicate unhealthy cholesterol levels. So when reviewing your cholesterol levels look at the ratio of total cholesterol to HDL. Low-carb and ketogenic diets are particularly good at raising the level of HDL (good) cholesterol. For an easy to follow guide to healthy eating with diabetes join the Low Carb Program."""
how to Diagnose high cholesterol?,100,"A cholesterol test which measures total cholesterol HDL cholesterol non-HDL cholesterol and triglyceride levels should be performed at least once every year for people with diabetes. It is more difficult to measure LDL cholesterol and so non-HDL cholesterol is used instead of getting a direct LDL measurement."""
how to Treat high cholesterol?,101,"If your cholesterol levels are found to be too high and unhealthily balanced your doctor may advise you to modify your diet and take more physical exercise. They may also offer you statins. Try to cut down on any convenience foods you may be having and have home cooked or home prepared food where possible. Consider using the plate method which is a good way to ensure you’re having appropriate portion sizes and getting enough vegetables. Low-carbohydrate and ketogenic diets are effective for getting a healthier balance of cholesterol. If you need help with modifying your diet arrange an appointment with a dietitian. Regular exercise is also recommended. You should aim to dedicate 30 minutes or more to physical activity at least five times a week. If you smoke it is highly beneficial to quit smoking to lower your risk of heart attack or stroke. Statins will often be offered to adults with diabetes and high cholesterol."""
Do I need tablets (statins) for high cholesterol?,102,"NICE generally recommends that people with a 10% or greater risk of developing heart disease within the next 10 years take statins. This likelihood is worked out by the QRISK2 calculator that doctors use. For people with diabetes NICE recommends [150]: Consider statin treatment for all adults with type 1 diabetes offer statins to anyone with type 2 diabetes with a 10% or greater risk of developing heart disease in the next 10 years. The starting dose of statins should be atorvastatin 20 mg unless this is not tolerated by the patient. Statins have been shown to prevent a major heart event in around 1 in 100 people that take the tablets for 3 years. Statins may cause side effects such as aching muscles headaches or memory trouble in some people. If sides effects occur speak to your doctor. If you have side effects from statins they should disappear once you stop taking them. Whether you take statins should be an agreement between you and your doctor and you have the right to accept or turn down the offer to take statins."""
what is the relation between Diabetes and Coeliac Disease (Coeliac Sprue or Gluten Allergy)?,103,"Coeliac disease (also known as celiac disease) is a condition that occurs when the lining of the small intestine is damaged by gluten. Gluten has an adverse reaction that causes the immune system to attack the lining of the bowel. Gluten is a common protein that is found in: Rye Wheat and Barley. The damaged lining of the small intestine means that foods are not absorbed properly. Several groups are more at risk from developing celiac disease and these include type 1 diabetics."""
What symptoms are common in coeliac disease?,104,"What symptoms are common in coeliac disease? Like diabetes itself coeliac disease can be diagnosed with no symptoms and the symptoms can be extremely subtle. If symptoms are presented they may include: Abdominal pain or discomfort Abdominal bloating Flatulence Diarrhoea Losing weight from an inability to absorb nutrients from food Feeling excessively tired. Children that are not growing at the expected rate for their age may also be presenting a sign of coeliac disease."""
what is the relation Coeliac disease and children?,105,"In babies and young children coeliac disease can cause them to gain weight become paler and be lethargic and unhappy. In children coeliac disease often starts manifesting itself when cereals are introduced into the diet. All of the symptoms of coeliac disease can also be indicative of other conditions so it is essential to seek professional diagnosis before jumping to any conclusions. However if left untreated coeliac disease can lead to bone disease anaemia and even cancer."""
How large is the risk of coeliac disease in the UK?,106,"Recent research has found that coeliac disease affects approximately 1 in 300 people throughout the UK and Europe. In some areas of the world coeliac disease is more prevalent. For instance the West coast of Ireland has a high coeliac concentration with approximately 1 in 100 people affected by the condition. Coeliac condition occurs equally in men and women."""
What are the causes of coeliac disease?,107,"Gluten is a combination of the proteins gliadin and glutenin. When Gluten is mixed with water it becomes sticky and forms dough. When gluten reaches the lining of the small bowel it causes a reaction. The immune system attacks villi on the lining of the bowel as if it were an external organism. In coeliac disease the villi are attacked and eventually may be destroyed. Henceforth nutrients are not properly absorbed leading to a host of problems. Many coeliacs inherit the condition from a member of their family although having a coeliac family member means only a 10% higher chance of developing the condition."""
Is there a link between diabetes and coeliac disease?,108,"Coeliac disease is an autoimmune disease meaning that the body’s immune system attacks its own cells. Type 1 diabetes is also an autoimmune disease and research has established a higher incidence of type 1 diabetes diagnosis in people with coeliac disease than in the general population.Type 1 diabetes affects around 0.75% of the UK population whereas it affects between 2% and 10% of people with coeliac disease. The NICE guidelines recommends that people with type 1 diabetes are screened for coeliac disease."""
How will being coeliac affect my diabetes?,109,"If coeliac disease has caused damage to the small intestine this can lead to difficulties with absorbing nutrients including carbohydrate which may lead to an increased likelihood of hypoglycaemia and hyperglycemia. Regular monitoring of blood glucose levels will help you to see how your sugar levels respond to meals and can help to catch instances of too high or too low blood sugar levels."""
What diet should I use if I have coeliac disease and diabetes?,110,"To return the intestine to a normal pre-coeliac state it is necessary to adhere to a strict gluten-free diet. Diet is essential to manage diabetes but when combined with coeliac disease this needs careful attention. When coeliac disease has been diagnosed many of the staple sources of carbohydrate such as bread pasta cereal biscuits and cakes must be avoided. However they can be replaced with gluten-free alternatives. The NHS recognises that gluten free alternatives may not be readily available and can be more expensive and so a number of gluten free foods are available on prescription for people with coeliac disease. here are several key difficulties to be considered when combining a coeliac and diabetes-friendly diet. Having both diabetes and coeliac disease can significantly reduce the number of foods available to eat. As many pre-prepared foods rely on gluten you may need to prepare more foods from scratch. There are many books available about living gluten-free."""
Who can I turn to for help and advice about diabetes and coeliac disease?,111,"These numbers and addresses could provide further useful information: The Coeliac Society PO Box 220 High Wycombe Tel: 01494 437278 Help line: 0870 4448804"""
how is Diabetes and Dental Health related?,112,"Problems with teeth and gums can be more common for people with diabetes so good dental health is important to prevent dental complications developing. Looking after your teeth and gums is an essential part of learning to live with both type 1 diabetes and type 2 diabetes.You should inform your dentist if you have either new-onset or long-standing diabetes as this might affect your dental treatment and how often they must review your teeth and gums."""
how is Diabetes and dental hygiene related?,113,"People with diabetes who have poor control of their blood glucose levels are more likely to develop dental health problems. Therefore keeping your blood sugar within a normal range will reduce this risk. Eating a balanced diet getting regular exercise and giving up smoking is also advised to lessen the risk of oral health problems. Making sure that you visit a dentist every six months ensures that any infection will be treated as early as possible. Minor dental problems can quickly escalate and a routine visit to the dentist will pick up on these. In the UK although people with diabetes are more prone to dental problems they do not receive any extra financial help for dental treatment."""
how is Diabetes and gum diseases related?,114,"Having prolonged high blood glucose levels can increase the risk of oral health problems such as gum disease. Gum disease also known as periodontitis is the sixth most common disease in the world. It occurs when bacteria within the mouth begins to form into a sticky plaque which sits on the surface of the tooth. Gum disease is classified on the severity of its development. There are three stages of gum disease: Gingivitis: Gingivitis is the initial stage of gum disease caused by poor oral hygiene and irregular plaque removal from teeth. It is characterised by swollen red and tender gums and it can cause bleeding when brushing. Luckily gingivitis is reversible and through improving your oral hygiene techniques and visiting your dentist or hygienist for advice on a home dental health care program you should be able to reverse this process. Periodontitis (Mild): Untreated gingivitis can lead to mild periodontitis. The conversion of gingivitis to periodontics is more common in people who have a family history of gum disease poor oral hygiene and uncontrolled diabetes. At this stage there will be damage to the gums and bone supporting the teeth. In order to prevent further damage a prompt visit to the dentist is required to prevent further progression. Periodontitis (Severe): This is the most advanced stage of gum disease characterised by significant tissue and bone loss around the teeth. Having prolonged high blood glucose levels can lead to gum disease developing or worsening more quickly but keeping your levels within a normal range reduces the risk of infection spreading. Unfortunately when your body begins to fight an infection blood glucose levels will usually rise in response. Should the infection in your mouth become worse you could have problems with food intake which might affect your diabetes management. Your dentist can help you with your diabetes if you have developed gum disease or another mouth infection."""
What are the symptoms of dental health problems?,115,"Sore or swollen gums Bleeding gums Receding gums Loose teeth Bad breath. You should visit your dentist if you experience any of these symptoms; urgent treatment might be required to prevent a problem from worsening."""
How could Dental treatment affect blood sugar levels?,116,"If dental work requires you to take special precautions (such as not eating for a short period) you should ensure that this won’t affect your treatment regime. If you are on medication that can lead to hypos such as insulin or sulphonylureas speak with your dentist or your doctor to see if your medication will need to be modified before the dental work. High blood sugar levels may affect the time the teeth and gums take to heal. If dental work is taking an unusually long time to heal you should immediately contact your diabetes healthcare team or dentist for advice."""
what is the relation between Diabetes and Depression?,117,"According to NICE people who are diagnosed with a chronic physical health problem such as diabetes are 3 times more likely to be diagnosed with depression than people without it. Depression can have a serious impact on a person’s well being and their ability and motivation to self-manage their condition. Depression is the most common psychiatric disorder witnessed in the diabetes community. People with diabetes suffering from depression are at greater risk of suffering from an episode of diabetic burnout which collectively can have adverse effects on physical health and potentially instigate more long term complications both to do with diabetes and independent from the condition."""
What exactly is depression?,118,"Depression is the term given when an individual experiences a number of symptoms including: Persistent sadness or anxiety a feeling of hollowness An overriding feeling of hopelessness and negativity Feeling helpless and powerless to change your situation Loss of interest in activities or pleasures Lower energy and increased fatigue Insomnia oversleeping awakening early in the morning Concentration problems memory problems and indecisiveness Dwelling on death or suicide Restlessness Weight change and decreased or increased appetite A diagnosis of depression is made if many of these symptoms are present continuously for a minimum of two weeks. For people with diabetes dealing with a lifelong condition and managing the risk of complications can seem like an overwhelming task particularly for newly diagnosed patients. Many diabetics struggle to cope with the requirements feeling overwhelmed and unmotivated. If diabetes is not faced with an attitude of perseverance and defiance often depression will prevail. Depression is the perception of life situations as undesirable. Often when individuals are faced with adverse events or conditions they spend huge amounts of effort trying to escape or deny such circumstances. Avoiding unpleasantness and expending energy trying to minimize discomfort can cause symptoms of depression."""
How can depression affect my diabetes?,119,"Depression can affect a patient’s capacity to deal with their diabetes including managing blood glucose levels appropriately. Research has found that people who suffer from both diabetes and depression have poorer metabolic and glycemic control which has in turn been found to intensify symptoms of depression. Additionally anti-depressants have been found to have hypoglycaemic effects causing serious problems for self-management. It has previously been reported that depressed people with diabetes are less likely to adherence to medication and diet regimens and subsequently have a reduction in quality of life and increased health care expenditure. Research has shown by addressing depression glycemic control is enhanced mood and quality of life is significantly improved."""
what is Diabulimia?,120,"Although not yet officially recognised as a medical condition diabulimia is nevertheless a serious and emerging problem that can bring on rapid development of diabetes complications. Experts predict that as many as one-third of young female diabetics could be suffering as a result of this condition. Diabulimia is more common in females but is recognised as occurring in significant numbers of young males as well."""
What are the signs of diabulimia?,121,"Signs of diabulimia may include: Regular changes in weight Awkwardness over questions about diabetes control or injections Avoiding clinic appointments Having a high HbA1c compared with results entered in a blood glucose diary Skipping injections will cause blood glucose levels to rise too high and therefore the following signs of hyperglycemia may be recognized:Being very thirsty Needing to urinate frequently Being abnormally tired in the day Having blurred vision."""
How does diabulimia work?,122,"Diabetics who are reliant on insulin find that it is a storage hormone and promotes fat. If patients miss injections or manipulate dosage they could theoretically reduce weight. Diabetics can continue to manage their disease but neither safely nor effectively. Diabetic patients could avoid ketoacidosis and obvious signs of management failure without realising the extent of damage that they are causing."""
How does diabulimia affect the body?,123,"The side effects of manipulating and omitting insulin from the body can be serious and dangerous both in the short term and the long term. Blood sugar levels can surge and reach an unhealthy level leading to: Fatigue Dehydration Wearing of the muscle tissue and A much greater risk of ketoacidosis which can be immediately dangerous. In the medium to long term the risk of suffering complications such as retinopathy neuropathy and kidney disease is greatly increased. It is not uncommon for teenagers with diabulimia to develop complications within their twenties."""
Will I lose my job if my diabetes causes me to have too much time off work?,124,"If your employer has a set number of sick days and your diabetes or another disability causes you to exceed the maximum number your employer should take reasonable steps to accommodate for this. If your time off work can be reasonably accommodated by your employer you should not lose your job. If absences are affecting the business in a way that cannot be accommodated dismissal may be deemed fair. If your diabetes has lead you to be off work for a long time and you are unlikely to return to work soon an employer could be acting within their rights if they choose to terminate your position. What is seen as a long time can depend on the type of work you do."""
Can my employer reduce my pay because of leave for my diabetes?,125,"If your diabetes has caused you to have more time off work than the maximum allowance it is reasonable for the company not to pay you for days beyond the maximum sick days allowance. Note that some firms may operate a separate disability leave policy."""
Do I need to inform the DVLA for my diabetes?,126,"If you don’t tell the DVLA about your diabetes or any other medical conditions that affect your driving when you should you can be fined up to £1 000 and could even be prosecuted if you are involved in an accident as a result. For all If any of the following factors apply you must inform the DVLA: If you have suffered more than one episode of severe hypoglycemia within the last 12 months (driving cars or motorcycles only) If you have suffered any episode of severe hypoglycaemia within the last 12 months (buses coaches or lorries) If you experience severe hypoglycemia whilst driving If you lose awareness of hypoglycemia If you have visual impairment in both your eyes or in one eye if it is your only fully functioning eye If you need to have laser treatment in both your eyes or in one eye if it is the only fully functioning eye If you have poor blood circulation or loss of sensation (such as caused by neuropathy) that means you need to drive only particular types of vehicles such as those with automatic gearboxes or with hand operated accelerators or brakes If you develop a complication of diabetes or any other medical condition that affects your ability to drive safely."""
what the relationship between Diabetes and Employment?,127,"For a start in almost all situations you should disclose your diabetes if your employment application requires you to. In all but a few rare cases there is no reason why people with diabetes should not have equal access to jobs; the exceptions being when employers for some positions may be unwilling to accept employees who are at risk of hypoglycemia."""
Are some jobs more suitable for people with diabetes?,128,"This depends entirely on each individual looking for a job.Some professions may be more suitable depending on your diabetes control and also advice from your healthcare professionals. For instance some people with diabetes may wish to do more physical exercise rather than be at a desk all day but obviously there is a balance to be struck and good blood glucose control might be essential for a role like this. Similarly many people with a good blood sugar routine may prefer fixed working hours in order to maintain their stability. Some people with diabetes seeking a job will also look for the freedom to inject insulin or test their blood glucose whilst at work."""
Are diabetics banned from doing some jobs?,129,"This depends on your type of diabetes and how you control it. Thankfully very few professions remain completely out of bounds for people with diabetes. No matter what profession you are seeking to undertake it is worth checking the suitability of the role both with the prospective employer and with your healthcare professional."""
what is the relation between Diabetes and Ethnicity?,130,"Global studies on ethnic groups and minorities and the rising incidence of diabetes have revealed one factor in particular; ethnicity can increase or decrease one’s risk of developing diabetes. Whilst in some cases this can be explained by access to healthcare and other socio-economic factors studies have proved that even with equal access prevalence of diabetes differs between people of different ethnicity."""
what are interesting Ethnicity facts of diabetes?,131,"Type 2 diabetes is up to 6 times more likely in people of South Asian descent Type 2 diabetes is up to three times more likely in African and Africa-Caribbean people Furthermore diabetes affects different ethnic groups in different ways."""
how is Diabetes in India and China?,132,"Although India and China are currently regarded as being the diabetes capitals of the world to gain an appreciation of the variation of diabetes prevalence between different ethnic groups the USA provides a valid model for study. The USA houses an enormously diverse ethnic mix. The National Health Interview Survey is one of the most comprehensive studies to date. In the USA according to results from the study it appears that black and Hispanic people are more likely to have diabetes than non-Hispanic whites. Furthermore American Indians and Natives of Alaska are apparently more likely than any other minority to develop diabetes. Asian Americans and Pacific Islanders have also been found to be significantly more at risk of developing diabetes than non-Hispanic whites."""
what is the relation between Diabetes and Extreme Sports?,133,"The nature of diabetes does not typically lend itself to taking part in extreme sports and activities. Short-term complications attributed to both type 1 and type 2 diabetes mean that risk inherent in extreme sports are even more risky for diabetics. The influence that high or low blood sugar levels can have on the body may prohibit some diabetics from taking part in extreme sports but this is not always the case."""
What are extreme sports?,134,"Extreme sports include high-risk activities such as rock climbing paragliding parachuting scuba diving and surfing. Although all of these sports may not necessarily fit into the popular definition of extreme sports for the purposes of diabetic involvement they may be considered as a group."""
Why shouldn’t diabetics take part in extreme sports?,135,"Diabetes needn’t necessarily prevent individuals participating in extreme sports. However sports that require a high level of fitness and provoke an adrenaline-based reaction of extreme excitement might not suit all diabetics and should be carefully considered and discussed with a doctor or medical healthcare professional. People taking certain medication such as insulin may find themselves excluded from certain sports such as scuba diving. In this case it is the organiser’s responsibility and therefore their decision."""
What should diabetics wishing to participate in extreme sports do?,136,"Diabetic patients wishing to participate in extreme sports should following the go-ahead from doctors or healthcare participants evaluate exactly how the activity will affect their blood sugar levels and prepare for this reaction by packing testing equipment insulin/medication food and water."""
what is the relation between Diabetes and Fitness?,137,"Knowing that you have to exercise and how to actually do it are two different things. The type level and duration of physical activity that you undertake as a diabetic will depend on what is suitable for you something you should agree with your doctor or healthcare team. We are developing our Fitness and Exercise area to encompass the information any diabetic would want to know about sports fitness and exercise in relation to diabetes."""
what does Fitness and Exercise Guides do?,138,"The fitness and exercise guides look at keeping active how sports can affect your blood sugar and how to prevent hypoglycemia during physical activity."""
What is the best kind of physical activity to help prevent or manage diabetes?,139,"The best type of physical activity will depend on your individual situation. Generally aerobic exercise strength training and flexibility training should be combined to form a comprehensive exercise routine."""
what is Seize the moment?,140,"As well as doing consistent suitable exercise being active throughout the whole day can help to burn calories. This means seizing the moment and burning as many calories as possible. For instance using a bike or walking rather than driving doing garden or household chores and setting yourself small physical challenges can all be helpful."""
What problems can hot weather cause for people with diabetes?,141,"Dehydration can be an issue in hot weather and higher blood glucose levels can further increase this risk. People with diabetes may need to increase their intake of fluids in hot weather drinking water regularly through the day. One of the major concerns regarding diabetes and hot weather is the risk of blood sugar levels rising or falling and causing hypoglycemia or hyperglycemia."""
What are the hypo risks from hot weather?,142,"Hot weather can increase the risk of hypoglycemia for those on blood glucose lowering medication. The Joslin Diabetes Centre notes that the body’s metabolism is higher in hot and humid weather which can lead to an increased chance of hypoglycemia. Hypos may be slightly harder to spot in hot weather. Don’t be tempted to disregard hypo symptoms such as sweating and tiredness as a result of hot weather as it could be a sign of hypoglycemia. Take extra care when driving and test your blood sugar before and after each journey and stop regularly to check your blood sugar if taking longer journeys. To prevent hypos be prepared to test your blood glucose more often particularly if taking part in physical activity in hot weather. Keep a source of fasting carbohydrate such as glucose tablets to hand. To help treat hypos buy glucose products from the Diabetes Shop. You may need to adjust your insulin levels during changes in temperature. If you are experiencing higher or lower blood sugar levels and need advice about adjusting your insulin levels speak with a member of your healthcare team."""
What is hyperglycemia?,143,"Hyperglycemia the term for expressing high blood sugar has been defined by the World Health Organisation as: Blood glucose levels greater than 7.0 mmol/L (126 mg/dl) when fasting Blood glucose levels greater than 11.0 mmol/L (200 mg/dl) 2 hours after meals. Although blood sugar levels exceeding 7 mmol/L for extended periods of time can start to cause damage to internal organs symptoms may not develop until blood glucose levels exceed 11 mmol/L."""
What causes hyperglycemia?,144,"The underlying cause of hyperglycemia will usually be from loss of insulin producing cells in the pancreas or if the body develops resistance to insulin. More immediate reasons for hyperglycemia include: Missing a dose of diabetic medication tablets or insulin Eating more carbohydrates than your body and/or medication can manage Being mentally or emotionally stressed (injury surgery or anxiety) Contracting an infection."""
What are the symptoms of hyperglycemia?,145,"The main 3 symptoms of high blood sugar levels are increased urination increased thirst and increased hunger. High blood sugar levels can also contribute to the following symptoms: Regular/above-average urination Weakness or feeling tired Loss of weight Increased thirst Vision blurring."""
Is hyperglycemia serious?,146,"Hyperglycemia can be serious if: Blood glucose levels stay high for extended periods of time - this can lead to the development of long term complications Blood glucose levels rise dangerously high - this can lead to short term complications."""
How to avoid and deal with hyperglycemia?,147,"Minimising long time exposure to high blood sugar levels is one of the key objectives of diabetes control. Testing blood sugar levels will help in managing hyperglycemia. People who take insulin may be able to take additional insulin. However only take additional insulin if your doctor is happy for you to do so as miscalculations could lead to dangerously low blood sugar levels. Diabetes UK advise people with type 1 diabetes to test for ketones if blood glucose levels rise above 15 mmol/l or the signs of ketoacidosis appear. Contact your health team if high levels of ketones are present. If blood glucose levels remain high for long periods of time contact your health team for advice."""
How does illness affect diabetes?,148,"During an illness or infection the body will release extra glucose into your blood stream in a bid to help combat the illness. In people without diabetes this is an effective strategy as their pancreas will release extra insulin to cope with the extra blood glucose. In people with diabetes though the release of glucose presents an unwanted extra difficulty in managing the rise in blood glucose levels - in addition to feeling less than 100%."""
Which injection site is best?,149,"Each of the four key injection sites are different and the rate at which insulin is absorbed will differ depending on which one used. A general rule of thumb is that the stomach gets insulin to the blood most quickly whilst the bum is the slowest route."""
What else affects how fast insulin enters the blood?,150,"For diabetics that inject insulin injecting an area about to be used in physical activity (even if it is relatively minor such as sustained typing) can mean the rate of absorption is much quicker. Similarly a hot day can speed up the action of insulin. At any time if you are unsure how quickly your insulin is being absorbed check your blood glucose levels to make sure."""
What are ketones?,151,"Ketones are an acid remaining when the body burns its own fat. When the body has insufficient insulin it cannot get glucose from the blood into the body’s cells to use as energy and will instead begin to burn fat. The liver converts fatty acids into ketones which are then released into the bloodstream for use as energy. It is normal to have a low level of ketones as ketones will be produced whenever body fat is burned. In people that are insulin dependent such as people with type 1 diabetes however high levels of ketones in the blood can result from taking too little insulin and this can lead to a particularly dangerous condition known as ketoacidosis."""
How do I test for ketones?,152,"Ketone testing can be carried out at home. The most accurate way of testing for ketones is to use a blood glucose meter which can test for ketones as well as blood glucose levels. You can also test urine for ketone levels however the testing of urine means that the level you get is representative of your ketone levels up to a few hours ago."""
Who needs to be aware of ketones?,153,"The following people with diabetes should be aware of ketones and the symptoms of ketoacidosis: Anyone dependent on insulin – such as all people with type 1 diabetes People with type 2 diabetes that are taking SGLT2 inhibitors (such as Forxiga Invokana and Jardiance). It is essential to know what the symptoms are and when you should test for ketones. Finding high levels of ketones present in your urine is a sign that the management of your diabetes needs adjusting. Ketone testing will be important within pregnancy for anyone with diabetes on insulin. Pregnant women with type 2 diabetes or gestational diabetes that is not treated with insulin should contact their health team if experiencing the symptoms of ketoacidosis."""
Will I be able to lead a ‘normal’  life?,154,"There is nothing stopping you leading a normal life. However it is paramount that you take good control of your diabetes to ensure you can lead a healthy long life. Diabetes can affect all areas of your life. You may wish to explore how diabetes can affect: Blood glucose levels Driving Getting a job Emotions Travel Sex. If you have any questions don’ t forget you can ask the community over in the Diabetes Forum."""
What are the risk factors for metabolic syndrome?,155,"The set of risk factors for metabolic syndrome generally include: Obesity - generally in the abdominal region. Outwardly this is manifested as excess fat tissue in and around the abdomen of the person Insulin resistance or intolerance to glucose - this means that the body cannot properly use blood sugar or insulin Proinflammatory state - higher amounts of C-reactive protein in the blood Prothrombotic state - higher amounts of fibrinogen or plasminogen activator inhibitor-1 present in the bloodstream Atherogenic Dyslipidemia - disorders in the blood fat with high levels of ‘bad’ cholesterol and low levels of ‘good’ cholesterol Higher blood pressure People who suffer from metabolic syndrome are at a much greater risk of developing type 2 diabetes as well as other diseases."""
What are the symptoms of metabolic syndrome?,156,"You may recognise some of the following symptoms of metabolic syndrome: Tiredness - particularly after meals Inability to focus properly - ‘brain fog’ Acanthosis nigricans - browning (hyperpigmentation) of folds of skin such as on the neck armpits groin and between the buttocks Most commonly patients suffering from metabolic syndrome will exhibit two major symptoms: Abdominal obesity Resistance to insulin."""
What if I have some of these symptoms?,157,"If you have a any of these symptoms your doctor can run tests to determine whether you have elevated blood sugar levels and therefore insulin resistance. One of these is the oral glucose tolerance test (OGTT or GTT)."""
What is metabolism?,158,"Metabolism refers to the chemical reactions that take place inside the cells of living organisms which are essential for life. For the purposes of this guide metabolism refers to the processes that occur in the body once food is eaten."""
