ID,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,QUESTION,QuestionsAdjectives,QuestionsEntities,QuestionsNouns
51,C-peptide is released at the same time as insulin. For each molecule of insulin produced there is a molecule of c-peptide. C-peptide does not itself influence blood sugar. C-peptide is a useful marker of insulin production because c-peptide tends to remain in the blood longer than insulin.,['same'],"['c-peptide', 'insulin']","['c', 'peptide', 'time', 'insulin']",c-peptide is released at the same time as insulin.,informationanddefinition,What is C-peptide?,[],['C-peptide'],"['C', 'peptide']"
52,"A c-peptide test can be performed for any of the following reasons: To distinguish whether you may have type 1 or type 2 diabetes To investigate whether you have insulin resistance To ascertain causes of hypoglycemia (low blood glucose levels) To monitor insulin production after the removal of a tumour of the pancreas (insulinoma)""",['low'],"['c-peptide test', 'any', 'reasons', 'diabetes', 'insulin resistance', 'causes', 'hypoglycemia', 'insulin production', 'removal', 'tumour', 'insulinoma', 'pancreas', 'blood glucose levels']","['c', 'peptide', 'test', 'reasons', 'type', 'type', 'diabetes', 'insulin', 'resistance', 'causes', 'hypoglycemia', 'blood', 'glucose', 'levels', 'insulin', 'production', 'removal', 'tumour', 'pancreas', 'insulinoma']","a c-peptide test can be performed for any of the following reasons: to distinguish whether you may have type 1 or type 2 diabetes to investigate whether you have insulin resistance to ascertain causes of hypoglycemia (low blood glucose levels) to monitor insulin production after the removal of a tumour of the pancreas (insulinoma)""",diagnosis,Why is a c-peptide test done?,[],['c-peptide test'],"['c', 'peptide', 'test']"
53,"To measure level of c-peptide a fasting blood test is taken. You will be asked not to eat or drink (certain fluids) for 8 to 12 hours before the test. If you take blood glucose lowering medication you will likely be asked to stop taking these in the run up to the test. For the blood test itself a sample of blood will be taken from your arm and it shouldn’t take much more than a minute. Levels of c-peptide will be measured as well as the blood glucose level.""",[],"['level', 'c-peptide', 'fasting blood test']","['level', 'c', 'peptide', 'fasting', 'blood', 'test']",to measure level of c-peptide a fasting blood test is taken.,diagnosis,How is the test performed?,[],['test'],['test']
54,"c-peptide test results are classed within 3 ranges/values. Normal range:The normal range for a c-peptide test is: 0.51 to 2.72 nanograms per millilitre (ng/mL) This may also be expressed as: 0.17-0.90 nanomoles per litre (nmol/L). The following information serves only as a guide. Your doctor should be able to advise you as to what the test results may indicate. Low test result values Low levels of c-peptide and high blood glucose levels could be an indicator of type 1 diabetes. Low levels of both c-peptide and blood glucose could indicate liver disease a severe infection or Addison’s disease. High test result values: High levels of c-peptide with a low level of blood glucose could be an indication of insulin resistance either type 2 diabetes or Cushing’s syndrome. High levels of c-peptide but low blood glucose levels may be a result of insulinoma (a tumour of the pancreas) unless glucose lowering medication has influenced the result.""",[],"['c-peptide test results', 'values', 'ranges']","['c', 'peptide', 'test', 'results', 'ranges', 'values']",c-peptide test results are classed within 3 ranges/values.,diagnosis,what does C-peptide test results show?,[],['C-peptide test results'],"['C', 'peptide', 'test', 'results']"
55,"Critical illness cover is almost as it says in the name essentially it is an insurance policy that will pay out a lump sum upon diagnosis of an illness covered under the plan. Critical illnesses that are covered under each policy vary between insurance providers. Therefore you should always check the documentation and policy wording before selecting your policy to make sure that it is right for you.""",['critical'],"['insurance policy', 'illness', 'name', 'illness', 'plan', 'lump sum', 'diagnosis']","['illness', 'cover', 'name', 'insurance', 'policy', 'lump', 'sum', 'diagnosis', 'illness', 'plan']",critical illness cover is almost as it says in the name essentially it is an insurance policy that will pay out a lump sum upon diagnosis of an illness covered under the plan.,informationanddefinition,What is Critical Illness Cover?,[],"['Illness', 'Cover']","['Critical', 'Illness', 'Cover']"
56,"A critical illness policy is designed to offer peace of mind and security for you and your loved ones should you become ill and possibly not able to work as a result of a critical illness or serious injury. The amount of cover is dependant on what you would want the cover for and can vary considerably based on your individual circumstances and needs. It can also be based on affordability and simply how much you are willing to pay for the cover. Some things to consider when applying for an amount of critical illness cover are: Paying your mortgage Monthly outgoings (i.e. utilities loans credit cards) Paying school fees Private medical treatment.""","['critical', 'ill', 'able', 'critical', 'serious']","['policy', 'illness', 'peace', 'mind', 'loved ones', 'security', 'illness', 'result', 'injury']","['illness', 'policy', 'peace', 'mind', 'security', 'ones', 'result', 'illness', 'injury']",a critical illness policy is designed to offer peace of mind and security for you and your loved ones should you become ill and possibly not able to work as a result of a critical illness or serious injury.,informationanddefinition,Why do I need Critical Illness Cover?,[],"['Illness', 'Cover']","['Critical', 'Illness', 'Cover']"
57,"Historically there have only been a couple of providers to offer critical illness cover for people who have been diagnosed with diabetes. Since November 2011 there has been a sole insurance provider who offered a Critical Illness Cover product for people with diabetes.""",['critical'],"['providers', 'cover', 'illness', 'couple', 'people', 'diabetes']","['couple', 'providers', 'illness', 'cover', 'people', 'diabetes']",historically there have only been a couple of providers to offer critical illness cover for people who have been diagnosed with diabetes.,informationanddefinition,Have Critical Illness products been available in the past?,"['Critical', 'available']","['products', 'Illness']","['Illness', 'products', 'past']"
58,"Generally you would only be able to obtain critical illness cover if the individual with diabetes has good control is a non-smoker and no complications such as: Retinopathy Neuropathy Raised BMI levels Cover is available for people with Type 1 or Type 2 Diabetes. Some providers will have standard exclusions on their policy which could be cardiovascular conditions and anything relating to the eyes.""","['able', 'critical', 'good', 'such', 'available']","['cover', 'illness', 'non-smoker', 'individual', 'diabetes', 'control', 'complications', 'type 1', 'people', 'diabetes', 'levels', 'retinopathy neuropathy', 'bmi']","['illness', 'cover', 'individual', 'diabetes', 'control', 'non-smoker', 'complications', 'retinopathy', 'neuropathy', 'bmi', 'levels', 'people', 'type', 'type', 'diabetes']",generally you would only be able to obtain critical illness cover if the individual with diabetes has good control is a non-smoker and no complications such as: retinopathy neuropathy raised bmi levels cover is available for people with type 1 or type 2 diabetes.,informationanddefinition,How does Critical Illness for Diabetes work?,[],"['Illness', 'Diabetes work']","['Critical', 'Illness', 'Diabetes', 'work']"
59,"The good news is that the cover is certainly more affordable and reasonably priced now than it has ever been in the past. There are a number of reasons for the general reduction in premiums and in ratings for diabetes such as: Better mortality data (people living longer and healthier lives) Greater competition Knowledge of the condition has developed The advance of medication for diabetes. It should be noted that critical illness cover is generally more expensive than life insurance for the simple reason that it is 6 times more likely that an individual will make a claim.""","['good', 'affordable']","['cover', 'news']","['news', 'cover', 'past']",the good news is that the cover is certainly more affordable and reasonably priced now than it has ever been in the past.,informationanddefinition,What does Critical Illness cost?,[],"['Illness', 'cost']","['Critical', 'Illness']"
60,"Cystic fibrosis is caused by a genetic mutation of the CFTR gene which causes the normal flow of salt and water through the body to be blocked. This results in the body producing unusually thick mucus which can cause problems in the body such as raising the risk of dangerous lung infections and preventing the pancreas from working properly to digest food. The symptoms of cystic fibrosis are usually spotted within the first year of a baby’s life and include: Particularly salty-tasting skin Persistent coughing Shortness of breath Frequent chest and lung infections Poor growth or weight gain.Cystic fibrosis affects digestion and so a high calorie diet is needed to maintain a healthy weight.""","['cystic', 'genetic', 'normal']","['cftr gene', 'cystic fibrosis', 'mutation', 'flow', 'body', 'salt', 'water']","['fibrosis', 'mutation', 'cftr', 'gene', 'flow', 'salt', 'water', 'body']",cystic fibrosis is caused by a genetic mutation of the cftr gene which causes the normal flow of salt and water through the body to be blocked.,informationanddefinition,What is cystic fibrosis?,['cystic'],['cystic fibrosis'],['fibrosis']
61,"The following symptoms of diabetes may be noticed in people with cystic fibrosis: Increased thirst Increased need to urinate Excessive tiredness Unexplained weight loss Unexplained decline in lung function.""","['cystic', 'excessive', 'unexplained', 'unexplained']","['symptoms', 'diabetes', 'cystic fibrosis', 'thirst', 'people', 'need', 'decline', 'weight loss', 'lung', 'tiredness']","['symptoms', 'diabetes', 'people', 'fibrosis', 'thirst', 'need', 'tiredness', 'weight', 'loss', 'decline', 'lung', 'function.']","the following symptoms of diabetes may be noticed in people with cystic fibrosis: increased thirst increased need to urinate excessive tiredness unexplained weight loss unexplained decline in lung function.""",manifestation,what are the symptoms of diabetes in cystic fibrosis?,['cystic'],"['diabetes', 'symptoms', 'cystic fibrosis']","['symptoms', 'diabetes', 'fibrosis']"
62,"It is important that a diagnosis of diabetes is not delayed to prevent deterioration of lung function. If you have the symptoms of diabetes contact your health team who will be able to arrange a diagnosis. An oral glucose tolerance test or continuous glucose monitoring may be used to diagnose CFRD.""",['important'],"['diabetes', 'diagnosis', 'lung function', 'deterioration']","['diagnosis', 'diabetes', 'deterioration', 'lung', 'function']",it is important that a diagnosis of diabetes is not delayed to prevent deterioration of lung function.,diagnosis,what are the diagnosis of diabetes in cystic fibrosis?,['cystic'],"['diabetes', 'diagnosis', 'cystic fibrosis']","['diagnosis', 'diabetes', 'fibrosis']"
63,"Cystic fibrosis can cause scarring of the pancreas which can affect the organ’s ability to produce insulin. Another contributing factor is insulin resistance which can also occur in people with cystic fibrosis. The impact of insulin resistance can be significantly increased whilst or as a result of taking corticosteroids to treat symptoms of cystic fibrosis.""",['cystic'],"['cystic fibrosis', 'pancreas', 'scarring', 'insulin', 'ability', 'organ']","['fibrosis', 'scarring', 'pancreas', 'organ', 'ability', 'insulin']",cystic fibrosis can cause scarring of the pancreas which can affect the organ’s ability to produce insulin.,cause,what are the causes of Cystic fibrosis?,['Cystic'],"['causes', 'Cystic fibrosis']","['causes', 'fibrosis']"
64,"Treatment for cystic fibrosis related diabetes should aim to address the issue of keeping blood glucose levels under control whilst enabling someone with CFRD to get sufficient nutrition to maintain a healthy weight.CFRD is usually treated with insulin. Insulin helps to keep blood glucose levels under control which can to prevent health complications related to diabetes developing and helps the body to get the energy needed to keep a healthy weight. Oral hypoglycemics (tablets) may be taken if there are sufficient difficulties in taking insulin. Regular blood glucose testing is an important part of the management of CFRD. Insulin requirements may be higher during times when corticosteroids are taken to manage the symptoms of cystic fibrosis. Management of diabetes in people with cystic fibrosis presents a different set of challenges to people with type 1 or type 2 diabetes and people with CFRD should be referred to a consultant with a specialism in managing patients with CFRD. The combination of diabetes with cystic fibrosis can be a challenge and psychological support can be an important part of managing the two conditions as well as accepting your diagnosis.""","['cystic', 'sufficient', 'healthy']","['treatment', 'diabetes', 'cystic fibrosis', 'cfrd', 'control', 'issue', 'blood glucose levels', 'cfrd', 'someone', 'insulin', 'nutrition']","['treatment', 'fibrosis', 'diabetes', 'issue', 'blood', 'glucose', 'levels', 'control', 'someone', 'cfrd', 'nutrition', 'weight.', 'cfrd', 'insulin']",treatment for cystic fibrosis related diabetes should aim to address the issue of keeping blood glucose levels under control whilst enabling someone with cfrd to get sufficient nutrition to maintain a healthy weight.cfrd is usually treated with insulin.,management,what are the treatment for Cystic fibrosis?,['Cystic'],"['treatment', 'Cystic fibrosis']","['treatment', 'fibrosis']"
65,"The symptoms of dehydration include: Thirst Headache Dry mouth and dry eyes Dizziness Tiredness Dark yellow coloured urine.""","['dry', 'dry', 'dark', 'yellow', 'coloured']","['symptoms', 'dehydration', 'dry mouth', 'thirst headache', 'eyes']","['symptoms', 'dehydration', 'thirst', 'headache', 'mouth', 'eyes', 'dizziness', 'tiredness', 'urine.']","the symptoms of dehydration include: thirst headache dry mouth and dry eyes dizziness tiredness dark yellow coloured urine.""",manifestation,Waht are symptoms of dehydration?,[],"['symptoms', 'dehydration']","['Waht', 'symptoms', 'dehydration']"
66,"The following factors can contribute to dehydration. Having more of these factors present at one time can raise the risk of dehydration: Insufficient fluid intake Hot weather Strenuous exercise High blood glucose levels Alcohol Diarrhoea Vomiting Diabetes insipidus.""",[],"['factors', 'dehydration']","['factors', 'dehydration']",the following factors can contribute to dehydration.,cause,What are the causes and contributory factors of dehydration?,['contributory'],"['causes', 'factors', 'dehydration']","['causes', 'factors', 'dehydration']"
67,"The symptoms of severe dehydration include:Low blood pressure Sunken eyes A weak pulse and/or rapid heartbeat Feeling confused Lethargy""","['severe', 'low', 'sunken', 'weak', 'rapid', 'confused']","['symptoms', 'dehydration', 'eyes', 'blood pressure', 'pulse', 'heartbeat', 'lethargy']","['symptoms', 'dehydration', 'blood', 'pressure', 'eyes', 'pulse', 'heartbeat', 'lethargy']","the symptoms of severe dehydration include:low blood pressure sunken eyes a weak pulse and/or rapid heartbeat feeling confused lethargy""",manifestation,What are symptoms of severe dehydration?,['severe'],"['symptoms', 'dehydration']","['symptoms', 'dehydration']"
68,"LADA is sometimes referred to as type 1.5 diabetes. This is not an official term but it does illustrate the fact that LADA is a form of type 1 diabetes that shares some characteristics with type 2 diabetes. As a form of type 1 diabetes LADA is an autoimmune disease in which the body’s immune system attacks and kills off insulin producing cells. The reasons why LADA can often be mistaken for type 2 diabetes is it develops over a longer period of time than type 1 diabetes in children or younger adults. Whereas type 1 diabetes in children tends to develop quickly sometimes within the space of days LADA develops more slowly sometimes over a period of years. The slower onset of diabetes symptoms being presented in people over 35 years may lead a GP to initially diagnose a case of LADA as type 2 diabetes.""",[],"['lada', 'type', 'diabetes']","['lada', 'type', 'diabetes']",lada is sometimes referred to as type 1.5 diabetes.,informationanddefinition,How does LADA compare with other diabetes types?,['other'],"['LADA', 'diabetes types']","['LADA', 'diabetes', 'types']"
69,"According to the UK Prospective Diabetes Study found that antibodies specific to LADA cases are found in between 6% and 10% of diabetes cases. Amongst people diagnosed with diabetes at an age younger than 35 years old LADA may account for up to 25% of cases.""","['prospective', 'specific', 'lada']","['uk', 'diabetes study', 'cases', 'antibodies', 'diabetes cases']","['uk', 'diabetes', 'study', 'antibodies', 'cases', '%', '%', 'diabetes', 'cases']",according to the uk prospective diabetes study found that antibodies specific to lada cases are found in between 6% and 10% of diabetes cases.,informationanddefinition,How common is LADA?,['common'],['LADA'],['LADA']
70,"Often LADA will be initially diagnosed as diabetes by way of the usual diagnosis procedures. Following a diagnosis of diabetes your doctor or you may have reason to suspect that the type of diabetes present is LADA. Determining the presence of LADA is achieved by examining the presence of elevated levels of pancreatic autoantibodies amongst patients who have recently been diagnosed with diabetes but do not require insulin. A GAD Antibody test can measure the presence of these autoantibodies. These antibodies can identify LADA and also can predict the rate of progression towards insulin dependency. Another test that can be performed is a C-peptide test. However C-peptide tests may not always draw conclusive results in people with LADA at an earlier stage of the condition’s development.""",['usual'],"['lada', 'diabetes', 'way', 'diagnosis procedures']","['diabetes', 'way', 'diagnosis', 'procedures']",often lada will be initially diagnosed as diabetes by way of the usual diagnosis procedures.,diagnosis,How is LADA diagnosed?,[],['LADA'],['LADA']
71,"Because LADA develops slowly someone with LADA may be able to produce enough of their own insulin to keep sugar levels under control without needing insulin for a number of months or sometimes even years after the initial diagnosis of diabetes. Insulin will almost certainly be required at some point in the future. In some cases insulin therapy may be postponed. However there is evidence to suggest that starting insulin treatment soon after a diagnosis of LADA will help to better preserve the pancreas’ ability to produce insulin. Regular blood glucose testing is advised for people with LADA at a similar number of tests per day that are advised for people with type 1 diabetes. This means that it is advisable to test your blood sugar levels before each meal and before bed.""","['able', 'enough', 'own', 'initial']","['lada', 'someone', 'lada', 'insulin', 'sugar levels', 'control', 'insulin', 'diagnosis', 'diabetes', 'number']","['lada', 'someone', 'lada', 'insulin', 'sugar', 'levels', 'control', 'insulin', 'number', 'months', 'years', 'diagnosis', 'diabetes']",because lada develops slowly someone with lada may be able to produce enough of their own insulin to keep sugar levels under control without needing insulin for a number of months or sometimes even years after the initial diagnosis of diabetes.,management,How is LADA treated?,[],['LADA'],['LADA']
72,"Ketoacidosis is a short-term complication of LADA particularly once the pancreas has lost much of its ability to produce insulin. People with LADA should be aware of the signs of ketoacidosis and how to test for ketones if needed. The risks of long term complications of diabetes will be similar to the risks in people with type 1 and type 2 diabetes. The possible long term complications of diabetes include:Heart disease and stroke Retinopathy (retinal disease) Nephropathy (kidney disease) Neuropathy (nerve disease) Foot problems.""","['short', 'much']","['ketoacidosis', 'pancreas', 'lada', 'insulin', 'ability', 'much']","['ketoacidosis', 'term', 'complication', 'lada', 'pancreas', 'ability', 'insulin']",ketoacidosis is a short-term complication of lada particularly once the pancreas has lost much of its ability to produce insulin.,complications,What complications are related to LADA?,[],"['complications', 'LADA']","['complications', 'LADA']"
73,"Maturity Onset Diabetes of the Young affects approximately one or two per cent of people who have diabetes and may often go unrecognised in its early stages. It is a form of diabetes that develops before the patient reaches 25. It also runs in families and can pass from one generation to the next. MODY does not always require insulin treatment.""","['young', 'unrecognised', 'early']","['maturity onset diabetes', 'diabetes', 'people', 'affects', 'stages']","['maturity', 'onset', 'diabetes', 'affects', 'cent', 'people', 'diabetes', 'stages']",maturity onset diabetes of the young affects approximately one or two per cent of people who have diabetes and may often go unrecognised in its early stages.,informationanddefinition,What is MODY diabetes?,[],"['diabetes', 'MODY']","['MODY', 'diabetes']"
74,"MODY is directly caused by the change in a single gene and all children of an affected parent have a 50 per cent chance of inheriting this gene and consequently developing MODY themselves.""","['single', 'affected']","['mody', 'change', 'gene', 'children', 'parent', 'gene', 'mody', 'chance']","['mody', 'change', 'gene', 'children', 'parent', 'per', 'cent', 'chance', 'gene', 'mody', 'themselves.']","mody is directly caused by the change in a single gene and all children of an affected parent have a 50 per cent chance of inheriting this gene and consequently developing mody themselves.""",informationanddefinition,Why is MODY inherited so easily?,[],['MODY'],['MODY']
75,"Knowing and understanding MODY and even the different forms of MODY (six types have been identified) means that the affected person can be treated in the most appropriate way possible. Advice can also be provided about how the disease will progress and what complications can be expected. Furthermore other family members can be advised about the risks of inheriting the disease.""","['different', 'affected', 'appropriate', 'possible']","['mody', 'forms', 'mody', 'types', 'way', 'person']","['mody', 'forms', 'mody', 'types', 'person', 'way']",knowing and understanding mody and even the different forms of mody (six types have been identified) means that the affected person can be treated in the most appropriate way possible.,informationanddefinition,Why does MODY differ from other strains of diabetes?,['other'],"['strains', 'MODY', 'diabetes']","['MODY', 'strains', 'diabetes']"
76,"There is no need for people with diabetes to give up alcohol simply because of their diabetes. Although alcohol does have an effect on blood sugar levels with a few precautions and careful management people with diabetes can also enjoy a drink. There are also alcohol substitutes for those who abstain. In fact diabetes alcohol guidelines are the same as for the general population.""",[],"['people', 'need', 'diabetes', 'alcohol', 'diabetes']","['need', 'people', 'diabetes', 'alcohol', 'diabetes']",there is no need for people with diabetes to give up alcohol simply because of their diabetes.,complications,what is the relation between Diabetes and Alcohol?,[],"['relation', 'Diabetes', 'Alcohol']","['relation', 'Diabetes', 'Alcohol']"
77,"The guidelines are two units for women and three units for men. However it is worth being aware how many units a drink contains. In some cases a glass of wine will constitute two units and a pint of beer can even reach three units.""",[],"['guidelines', 'units', 'women', 'men', 'units']","['guidelines', 'units', 'women', 'units', 'men']",the guidelines are two units for women and three units for men.,informationanddefinition,What are the recommended alcohol guidelines for people with diabetes?,[],"['alcohol guidelines', 'diabetes', 'people']","['alcohol', 'guidelines', 'people', 'diabetes']"
78,"If you have diabetes and are wondering how much alcohol you should drink it is worth reading the following list to see how much alcohol is contained in each type of drink. One unit (approximate measure): 1/2 pint of standard strength beer lager or cider pub shot/optic/measure (50ml) of sherry or vermouth 1 pub shot/optic/measure of spirit (25 ml) eg gin vodka or whisky.""","['much', 'worth', 'following', 'much']","['diabetes', 'list', 'alcohol', 'type', 'drink', 'alcohol']","['diabetes', 'alcohol', 'list', 'alcohol', 'type', 'drink']",if you have diabetes and are wondering how much alcohol you should drink it is worth reading the following list to see how much alcohol is contained in each type of drink.,informationanddefinition,How much alcohol do drinks usually contain?,['much'],"['drinks', 'alcohol']","['alcohol', 'drinks']"
79,"Not quite. People with diabetes need to be extra careful with alcohol. Alcohol intake significantly increases the risk of hypoglycemia (low blood sugar levels). If your diabetes is already well under control a moderate amount of alcohol may be fine either before during or soon after a meal. Even if you have a drink this may not influence short-term blood glucose levels. However there are some precautions to be taken care of.""",[],[],[],not quite.,informationanddefinition,So if I have diabetes I can drink as usual?,['usual'],['diabetes'],['diabetes']
80,"Avoid drinking on an empty stomach as this will quickly increase the amount of alcohol in your bloodstream. Also avoid binge-drinking or sustained drinking and never substitute alcohol for your meals. All of this can increase the risk of hypoglycaemia.""",['empty'],"['stomach', 'bloodstream', 'amount', 'alcohol']","['stomach', 'amount', 'alcohol', 'bloodstream']",avoid drinking on an empty stomach as this will quickly increase the amount of alcohol in your bloodstream.,management,What do I need to be careful of when it comes to diabetes and alcohol?,['careful'],"['alcohol', 'diabetes']","['diabetes', 'alcohol']"
81,"Diabetes when present in the body over many years can give rise to all sorts of complications. These include heart disease kidney disease retinopathy and neuropathy. If left untreated some of these complications can become extremely damaging to the body.""","['present', 'many']","['diabetes', 'body', 'rise', 'sorts', 'complications']","['diabetes', 'body', 'years', 'rise', 'sorts', 'complications']",diabetes when present in the body over many years can give rise to all sorts of complications.,complications,what is the relation between Diabetes and Amputation?,[],"['relation', 'Diabetes', 'Amputation']","['relation', 'Diabetes', 'Amputation']"
82,The NHS reports that people who have diabetes are 15 times more likely to undergo amputations than other people without the condition. Diabetes is one of the leading causes of amputation of the lower limbs throughout the world. Charity Diabetes UK notes that problems of the foot are the most frequent reasons for hospitalisation amongst patients who have diabetes. Many hospital visits due to diabetes-related foot problems are preventable through simple foot care routines. All people who have diabetes should have foot check-ups as a part of their regular care routine.,"['likely', 'other']","['people', 'nhs', 'diabetes', 'people', 'condition', 'amputations']","['nhs', 'people', 'diabetes', 'times', 'amputations', 'people', 'condition']",the nhs reports that people who have diabetes are 15 times more likely to undergo amputations than other people without the condition.,cause,Why is Diabetes is a leading cause of amputation?,['leading'],"['Diabetes', 'amputation']","['Diabetes', 'cause', 'amputation']"
83,"Several key factors usually predispose ulceration and ultimately amputation. These include: Neuropathy Circulation problems Foot ulcers Charcot foot Other damage to the foot.""","['several', 'key']","['factors', 'ulceration', 'amputation']","['factors', 'ulceration', 'amputation']",several key factors usually predispose ulceration and ultimately amputation.,cause,What factors lead to amputation?,[],"['factors', 'amputation']","['factors', 'amputation']"
84,"Diabetic foot complications are more common amongst the elderly and amputation rates do increase with age. For people over 75 years old the risk does increase considerably. All people who have diabetes should have a basic education in foot care and beyond this they should have regular foot examinations. The risk for the development of ulceration can be assessed by basic clinical examination of the foot.""","['diabetic', 'common', 'elderly']","['foot', 'complications', 'elderly', 'amputation', 'age', 'rates']","['foot', 'complications', 'amputation', 'rates', 'age']",diabetic foot complications are more common amongst the elderly and amputation rates do increase with age.,informationanddefinition,How are these factors assessed?,[],['factors'],['factors']
85,"Amputations in general not just diabetes-related amputations are classed as major and minor. Minor amputation regards removal of toes or feet. Major amputation refers to the above or below the knee amputation.""","['general', 'major', 'minor']","['amputations', 'amputations', 'minor']","['amputations', 'diabetes', 'amputations']",amputations in general not just diabetes-related amputations are classed as major and minor.,informationanddefinition,What are major and minor amputations?,"['major', 'minor']",['amputations'],['amputations']
86,"Look for any signs of damage to the foot this could be cuts sores burns blisters or ulcers. In people with reduced circulation or sensation in the foot even small damage could be significant.""",[],"['signs', 'foot', 'damage', 'blisters', 'ulcers', 'cuts sores']","['signs', 'damage', 'foot', 'cuts', 'sores', 'blisters', 'ulcers']",look for any signs of damage to the foot this could be cuts sores burns blisters or ulcers.,diagnosis,How should I identify a foot at risk from amputation?,[],"['foot', 'amputation', 'risk']","['foot', 'risk', 'amputation']"
87,"The aim of disability benefits is to help those people that need it whilst incapacity benefits are intended for those that physically or mentally are unable to work.""",['unable'],"['aim', 'people', 'disability benefits', 'incapacity benefits']","['aim', 'disability', 'benefits', 'people', 'incapacity', 'benefits']","the aim of disability benefits is to help those people that need it whilst incapacity benefits are intended for those that physically or mentally are unable to work.""",informationanddefinition,What is the purpose of disability benefits?,[],"['purpose', 'disability benefits']","['purpose', 'disability', 'benefits']"
88,"There are a number of benefits available for people with diabetes and/or their carers: Disability Living Allowance (DLA) Disability Living Allowance is available for people over the age of 16 years old with care and/or mobility needs. For care needs there are three tiers of benefit from needing care for short periods up to care covering both night and day. For mobility needs there are two tiers covering care for those who need guidance and the higher tier for people who find the act of moving around difficult; DLA for parents of children with diabetes: Parents of diabetic children may also claim for disability living allowance if there are significant care needs above those of other children of the same age; Personal Independence Payment (PIP): In 2013 Personal Independence Payment replaced Disability Living Allowance for people between the ages of 16 and 64. For care needs there are two tiers of benefit for both mobility and daily living needs. The tier you may qualify for and therefore how much benefit you receive depends on the extent of care needs you have which is assessed on a points basis. Attendance Allowance for over 65s: If you are over 65 and have specific care needs for safety reasons or to carry out basic tasks you may wish to claim Attendance Allowance. There are two tiers available higher and lower depending on your specific care needs. There are two tiers available a lower tier for day or night needs and a higher tier for day and night needs.""","['available', 'available', 'old']","['people', 'benefits', 'number', 'diabetes', 'disability living allowance', 'disability living allowance', 'carers', 'dla', 'care', 'mobility needs', 'people', 'age']","['number', 'benefits', 'people', 'diabetes', 'carers', 'disability', 'living', 'allowance', 'dla', 'disability', 'living', 'allowance', 'people', 'age', 'years', 'care', 'mobility', 'needs']",there are a number of benefits available for people with diabetes and/or their carers: disability living allowance (dla) disability living allowance is available for people over the age of 16 years old with care and/or mobility needs.,informationanddefinition,What benefits are available to me?,['available'],['benefits'],['benefits']
89,"One area of confusion for diabetics and their diets is carbohydrates. So should you eat carbohydrates or avoid them? Carbohydrates have a direct influence on blood sugar levels and so diets followed by people with diabetes tend to focus either on the quantity of carbohydrate intake or the speed at which carbohydrates are absorbed by the body. In the UK patients diagnosed with diabetes are generally recommended by health professionals to follow a low GI diet rather than a low-carb diet.""",[],"['area', 'diabetics', 'confusion', 'carbohydrates', 'diets']","['area', 'confusion', 'diabetics', 'diets', 'carbohydrates']",one area of confusion for diabetics and their diets is carbohydrates.,management,what are Carbohydrate Controlled Diets?,[],"['Carbohydrate', 'Diets']","['Carbohydrate', 'Diets']"
90,"A carbohydrate controlled diet is a diet in which carbohydrate intake is either limited or set at a particular value. Setting carbohydrate intake at set values or limits can be used by people with diabetes help stabilise blood glucose levels. Examples of carbohydrate controlled diets include: Low carbohydrate diets Ketogenic diets Atkins diet Low carb high fat diet South beach diet The Zone diet.""","['limited', 'particular']","['diet', 'carbohydrate intake', 'value']","['carbohydrate', 'diet', 'diet', 'carbohydrate', 'intake', 'value']",a carbohydrate controlled diet is a diet in which carbohydrate intake is either limited or set at a particular value.,management,What is a carbohydrate controlled diet?,[],['diet'],"['carbohydrate', 'diet']"
91,"A diet involving fixed intakes of carbohydrate through the day can help to simply diabetes control and may be helpful to people on insulin and particularly those on fixed dose insulin regimens. Having a fixed intake of carbohydrate each day offers less flexibility in terms of meals but can offer more consistency over blood glucose control. People with type 1 diabetes will still need to have competence in carbohydrate counting.""",['helpful'],"['diet', 'intakes', 'carbohydrate', 'diabetes control', 'insulin regimens', 'insulin', 'people']","['diet', 'intakes', 'carbohydrate', 'day', 'diabetes', 'control', 'people', 'insulin', 'dose', 'insulin', 'regimens']",a diet involving fixed intakes of carbohydrate through the day can help to simply diabetes control and may be helpful to people on insulin and particularly those on fixed dose insulin regimens.,informationanddefinition,what are Fixed carbohydrate intakes?,[],['carbohydrate intakes'],"['carbohydrate', 'intakes']"
92,"Restricted carbohydrate diets set a limit on how much carbohydrate you take in over the course of a day or for each meal. Low carbohydrate diets are a form of restricted carbohydrate diet. Restricted carbohydrate diets may specify a maximum value of carbohydrate intake. However sometimes this is not needed particularly if the diet suggests avoiding many of the kind of foods with higher carbohydrate intakes.""",['much'],"['carbohydrate diets', 'limit', 'carbohydrate', 'course', 'meal']","['carbohydrate', 'diets', 'limit', 'carbohydrate', 'course', 'day', 'meal']",restricted carbohydrate diets set a limit on how much carbohydrate you take in over the course of a day or for each meal.,informationanddefinition,what are Restricted carbohydrate diets?,[],['carbohydrate diets'],"['carbohydrate', 'diets']"
